pregunta,a,b,c,d,correcta
¿Cuál es el estándar adoptado en Venezuela para TDA?,DVB-T,ATSC,ISDB-Tb,DTMB,c
¿Qué técnica de modulación utiliza el sistema ISDB-Tb?,QAM Directa,COFDM,8-VSB,SSB,b
¿Qué ancho de banda ocupa un canal de TDA en Venezuela?,6 MHz,7 MHz,8 MHz,10 MHz,a
¿Qué middleware permite la interactividad en el estándar?,JavaTV,MHP,Ginga,Flash Player,c
¿Cuál es la relación de aspecto estándar para HD en TDA?,4:3,16:9,21:9,1:1,b
¿Qué tipo de compresión de video se usa en la TDA local?,MPEG-2,H.263,H.264 (MPEG-4 AVC),HEVC,c
¿Cómo se denomina al flujo de datos que transporta video y audio?,Stream de Bit,Transport Stream (TS),Data Pipe,Multiplex,b
¿A qué se le llama canal Tabú en TV analógica?,Que tranmite canales de adultos,Que impide usar canales adyacentes superior e inferior,Que no se pueden otorgar por intereses cruzados,Que son prohibidos por la UIT en Ginebra,b
¿Cuál es el valor de la frecuencia central de la portadora de color del canal 33 UHF?,588.00 MHz,558.58 MHz,585.85 MHz,588.83 MHz,d
Si la portadora de video (luminancia) de un canal es 753.25 MHz ¿Cuál será el valor de la frecuencia de la portadora de audio?,757.75 MHz,775.77 MHz,777.77 MHz,755.55 MHz,a
Las señales de color se componen de los colores R G y B ¿En qué proporción se cuantifica la luminancia Y con respecto a R/G/B?,30/59/11,51/29/30,30/51/29,11/30/29,a
¿Cuál es la constitución en binario R/G/B del color magenta?,1/1/1,1/0/1,0/1/1,1/0/0,b
¿A qué separación del inicio de canal se ubica la portadora de luminancia en TV analógica?,1.0MHz,1.5MHz,1.25MHz,1.75MHz,c
¿Cuál es el valor del intervalo de guarda más común en ISDB-Tb para redes de alta movilidad?,1/4,1/8,1/16,1/32,a
¿Qué parámetro mide la desviación de los puntos de la constelación respecto a su posición ideal?,BER,SNR,MER,C/N,c
¿Cuántas portadoras tiene el Modo 3 (8k) del sistema ISDB-Tb?,1405,2809,5617,8192,c
¿Cuál es la tasa de bits máxima teórica en un canal de 6 MHz con 64QAM y FEC 7/8?,19.33 Mbps,23.23 Mbps,28.17 Mbps,32.00 Mbps,b
¿Qué técnica permite la recepción de señales de TV en dispositivos móviles dentro del estándar ISDB-Tb?,Full-Seg,HD-Seg,One-Seg,Mobile-Seg,c
¿Qué nombre recibe el fenómeno donde la señal digital desaparece bruscamente al bajar el nivel de recepción?,Efecto fantasma,Efecto nieve,Efecto Acantilado (Cliff Effect),Interferencia cocanal,c
¿Cuál es el acrónimo para la interferencia que ocurre entre símbolos adyacentes?,ISI,ICI,MER,FEC,a
¿Qué capa del estándar ISDB-Tb se encarga de la multiplexación de los servicios?,Capa física,Capa de enlace,Capa de transporte (MPEG-2 TS),Capa de aplicación,c
¿Cuál es la separación entre portadoras en el Modo 3 (8k)?,3.968 kHz,0.992 kHz,1.116 kHz,4.464 kHz,b
¿Qué tipo de modulación se usa específicamente para las portadoras piloto y de control (TMCC)?,QPSK,BPSK,DBPSK,16QAM,c
¿Cuál es el rol del código Reed-Solomon en el estándar ISDB-Tb?,Modulación,Corrección de errores externa,Entrelazado,Sincronismo,b
¿Qué significa el acrónimo COFDM?,Coded Orthogonal Frequency Division Multiplexing,Continuous Output Frequency Digital Modulation,Circular Orthogonal Frequency Division Multiplexing,Coded Output Frequency Digital Multiplexing,a
¿Cuál es la función del Intervalo de Guarda?,Aumentar la velocidad de datos,Protección contra ecos y multitrayecto,Mejorar la resolución de imagen,Cambiar la frecuencia,b
En una señal NTSC ¿Qué línea del VBI se usa comúnmente para el Close Caption?,Línea 10,Línea 17,Línea 21,Línea 23,c
